Population,Mean_1,Mean_2,Mean_3,Mean_4,Variance_1,Variance_2,Variance_3,Variance_4,Skewness_1,Skewness_2,Skewness_3,Skewness_4,AQI
1.80E+05,10.485,5.9908,8147.2,274.19,851.49,254.32,8.95E+08,7.59E+05,7.5659,8.6265,6.9552,6.4166,48
1.80E+05,10.469,6.0132,8102.3,273.97,849.89,256.13,8.82E+08,7.57E+05,7.5779,8.6,6.9848,6.3981,49
1.81E+05,10.453,6.0337,8058.1,273.73,848.5,258.32,8.68E+08,7.54E+05,7.5894,8.5726,7.0159,6.3808,49
1.81E+05,10.438,6.0523,7998.3,273.5,847.31,260.87,8.55E+08,7.52E+05,7.6001,8.5444,7.0484,6.3647,50
1.82E+05,10.425,6.0692,7936.7,273.27,846.34,263.76,8.42E+08,7.49E+05,7.61,8.5156,7.082,6.3501,52
1.82E+05,10.412,6.0848,7873.5,273.03,845.58,266.97,8.28E+08,7.47E+05,7.619,8.4862,7.1166,6.337,53
1.83E+05,10.401,6.0994,7809,272.8,845.05,270.46,8.15E+08,7.45E+05,7.6269,8.4566,7.1521,6.3256,55
1.83E+05,10.391,6.1133,7743.5,272.57,844.75,274.2,8.02E+08,7.44E+05,7.6336,8.4268,7.1883,6.316,57
1.84E+05,10.383,6.1267,7677.2,272.36,844.68,278.15,7.89E+08,7.42E+05,7.6392,8.3971,7.225,6.3084,58
1.84E+05,10.376,6.1399,7610.5,272.14,844.85,282.3,7.77E+08,7.41E+05,7.6434,8.3676,7.2621,6.3028,60
